Name of colony ,Current country,from ,to ,Reason for change of status 
  New Zealand ,New Zealand,1841,1907,Became the Dominion of New Zealand in 1907. 
  Nigeria ,Nigeria,1914,1960,Became independent as Nigeria in 1960. 
  Norfolk Island ,Australia,1788,1914,Placed under administration of Australia in 1914 as a non-self governing territory. The island was self-governing between 1979 and 2015. 
North Borneo ,Malaysia,1946,1963,Became part of Malaysia in 1963 as Sabah. Labuan separated from Sabah in 1984 to become a Federal Territory.[8] 
  North Carolina ,United States,1729,1776,Became part of the United States of America in 1776. 
Penang ,Malaysia,1946,1957,Became part of Malaya in 1957. 
  Quebec ,Canada,1763,1791,Divided between Upper and Lower Canada and the Northwest Territory. 
  Queensland ,Australia,1859,1901,Became part of the Commonwealth of Australia in 1901. 
  Saint Christopher and Nevis ,St. Kitts and Nevis,1980,1981,Became British Dependent Territory in 1981. 
Sarawak ,Malaysia,1946,1963,Became part of Malaysia in 1963.[8] 
  Seychelles ,Seychelles,1903,1976,Separated from British Mauritius in 1903 and became a Crown Colony and became independent in 1976. 
  Sierra Leone ,Sierra Leone,1808,1961,Became independent as Sierra Leone in 1961. 
  South Australia ,Australia,1834,1901,Became part of the Commonwealth of Australia in 1901. 
  South Carolina ,United States,1729,1776,Became part of the United States of America in 1776. 
  Southern Rhodesia ,Zimbabwe,1923,1965,"Declared independence in 1965 as Rhodesia, which became Zimbabwe Rhodesia, independence recognized by Britain in 1980 as Zimbabwe. "
  Singapore ,Singapore,1946,1963,Singapore became part of Malaysia in 1963;[8] then became independent as the Republic of Singapore in 1965.[9] 
,,1946,1946,"Labuan was incorporated into North Borneo on 15 July 1946, which became part of Malaysia in 1963.[8] "
Cocos Islands,Australia,1946,1955,Cocos (Keeling) Islands was transferred to Australia in 1955.[10] 
Christmas Island,Australia,1946,1957,Christmas Island was transferred to Australia in 1957.[11] 
  Straits Settlements ,,1786,1946,"Penang became a separate Crown colony within the Malayan Union in 1946, which was re-organised as the Federation of Malaya in 1948 and became independent in 1957;[12] later became part of Malaysia in 1963.[8] "
,,1826,1946,"Singapore became a separate Crown colony in 1946, after the Straits Settlements was dissolved.[13] "
,,1826,1946,"Malacca became a separate Crown colony within the Malayan Union in 1946, which re-organised as the Federation of Malaya in 1948 and became independent in 1957;[12] later became part of Malaysia in 1963.[8] "
,,1857,1946,Cocos (Keeling) Islands became part of the Colony of Singapore in 1946.[13] 
,,1874,1937,"Dinding (now Manjung) became part of the Federated Malay States in 1937, which later became part of the Malayan Union in 1946; the Malayan Union became the Federation of Malaya in 1948 and became independent in 1957;[12] later became part of Malaysia in 1963.[8] "
,,1888,1946,Christmas Island became part of the Colony of Singapore in 1946.[13] 
,,1906,1946,Labuan became part of the Colony of Singapore in 1946.[13] 
  Tasmania ,Australia,1803,1901,"Van Diemen's Land from 1803 to 1856; Formerly part of New South Wales from 1803 to 1825, when made an independent colony. Became part of the Commonwealth of Australia in 1901. "
  Upper Canada ,Canada,1791,1841,Became part of Province of Canada in 1841. 
  Vancouver Island ,Canada,1848,1866,Merged with the Colony of British Columbia in 1866. 
  Victoria ,Australia,1851,1901,Became part of the Commonwealth of Australia in 1901. 
  Virginia ,United States,1624,1776,Became part of the United States of America in 1776. 
  Western Australia ,Australia,1829,1901,Swan River Colony from 1829 to 1832. Became part of the Commonwealth of Australia in 1901. 
  West Florida ,United States,1763,1783,Ceded to Spain. Later became part of the United States. 
